known_heads,shared_tail,target_relation,answers
"[('corneal ulceration (physical finding)', 'may_treat'), ('Suppurative otitis media, unspecified, unspecified ear', 'may_treat')]","9-Fluoro-2,3-Dihydro-3-Methyl-10-(4-Methyl-1-Piperazinyl)-7-Oxo-7H-Pyrido(1,2,3-de)(1,4)benzoxazine-6-Carboxylic Acid, DL-",mechanism_of_action_of,['DNA Gyrase Inhibitors']
"[('Smoking, Pipe', 'associated_with'), ('smokings', 'associated_with')]",Spit Tobacco,used_for,"['Smoking, Tobacco and Cancer - Smokeless Tobacco']"
"[('Depressants, Myocardial', 'used_for'), ('Alpha-(3-((2-(3,4-Dimethoxyphenyl)Ethyl)Methylamino)Propyl)-3,4,5-Trimethoxy-Alpha-(1-Methylethyl)Benzeneacetonitrile Hydrochloride', 'therapeutic_class_of')]",Anti-arrhythmic Agent [TC],associated_with,['recent change in dosage of antiarrhythmic medication (history)']
"[('PHOSPHOLIPASE A2, GROUP IVA, DEFICIENCY OF', 'manifestation_of'), ('DUODENAL ULCER REPAIR', 'clinically_associated_with')]",Peptic ulcer of duodenum (disorder),location_of,['Duodenal (qualifier value)']
"[('PHOSPHOLIPASE A2, GROUP IVA, DEFICIENCY OF', 'manifestation_of'), ('DUODENAL ULCER REPAIR', 'clinically_associated_with')]",Peptic ulcer of duodenum (disorder),co-occurs_with,['gastritis (diagnosis)']
"[('PHOSPHOLIPASE A2, GROUP IVA, DEFICIENCY OF', 'manifestation_of'), ('DUODENAL ULCER REPAIR', 'clinically_associated_with')]",Peptic ulcer of duodenum (disorder),may_treat,['aluminum hydroxide (medication)']
"[('infection due to Yersinia pestis', 'may_treat'), ('inguinal; lymphogranuloma', 'may_treat')]","7-Chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-1,11-dioxo-2-naphthacenecarboxamide",has_ingredient,"['demeclocycline Oral Capsule', 'Demeclocycline Hydrochloride 300mg Oral tablet']"
"[('infection due to Yersinia pestis', 'may_treat'), ('inguinal; lymphogranuloma', 'may_treat')]","7-Chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-1,11-dioxo-2-naphthacenecarboxamide",physiologic_effect_of,['Cell Membrane Alteration']
"[('infection due to Yersinia pestis', 'may_treat'), ('inguinal; lymphogranuloma', 'may_treat')]","7-Chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-1,11-dioxo-2-naphthacenecarboxamide",mechanism_of_action_of,['Protein Synthesis Inhibitors']
"[('Hemolysis, Elevated Liver Enzymes, Lowered Platelets', 'co-occurs_with'), ('PEE4', 'manifestation_of')]",eclampsia (diagnosis),contraindicated_with_disease,['Dicumarol (product)']
"[('autoimmune disease (diagnosis)', 'contraindicated_with_disease'), ('neoplasm of ileum (diagnosis)', 'may_treat')]",interferon alfa-2a (medication),has_ingredient,"['Roferon A 3million unit/ml Solution for Injection', 'Product containing interferon alfa-2a in parenteral dose form (medicinal product form)', 'interferon alfa-2a 3,000,000 UNT per 0.5 ML Prefilled Syringe', 'interferon alfa-2a 18,000,000 UNT/ML Injectable Solution']"
"[('autoimmune disease (diagnosis)', 'contraindicated_with_disease'), ('neoplasm of ileum (diagnosis)', 'may_treat')]",interferon alfa-2a (medication),physiologic_effect_of,['Cellular Growth Phase Arrest [PE]']
"[('autoimmune disease (diagnosis)', 'contraindicated_with_disease'), ('neoplasm of ileum (diagnosis)', 'may_treat')]",interferon alfa-2a (medication),mechanism_of_action_of,['Biological Response Modifiers']
"[('Measurement of calcium after calcium infusion test', 'associated_with'), ('Ca44 isotope', 'used_for')]",calcium (medication),has_component,"['intact parathyrin and calcium panel in serum or plasma (lab test)', 'calcium level test', 'Urine calcium (& level) (procedure)', 'Calcium excretion, 2-hour collection, fasting, urine (procedure)', 'Assay of calcium in urine']"
"[('Measurement of calcium after calcium infusion test', 'associated_with'), ('Ca44 isotope', 'used_for')]",calcium (medication),has_ingredient,"['SODIUM CHLORIDE 0.6 g in 100 mL / SODIUM LACTATE 0.31 g in 100 mL / POTASSIUM CHLORIDE 0.03 g in 100 mL / CALCIUM CHLORIDE 0.02 g in 100 mL INTRAVENOUS INJECTION, SOLUTION [Lactated Ringers]', 'Calcium 600mg Oral tablet']"
"[('Measurement of calcium after calcium infusion test', 'associated_with'), ('Ca44 isotope', 'used_for')]",calcium (medication),has_active_ingredient,"['Oral form calcium', 'calcium + vitamin D (medication)', 'mineral supplements calcium + vitamin C']"
"[('Exocrine pancreatic insufficiency (EPI)', 'may_treat'), ('Amylase (substance)', 'has_active_ingredient')]",Amylase + lipase + protease (product),has_ingredient,['PANOKASE TAB']
"[('Exocrine pancreatic insufficiency (EPI)', 'may_treat'), ('Amylase (substance)', 'has_active_ingredient')]",Amylase + lipase + protease (product),mechanism_of_action_of,['Enzymatic Activity']
"[('blastomycosis (diagnosis)', 'may_treat'), ('Fungaemia (disorder)', 'may_treat')]",amphotericin B (medication),has_ingredient,"['amphotericin B 100 MG/ML', 'Amphotericin b 3% cream (product)', 'amphotericin B@@MISCELL@POWDER (GRAM)', 'amphotericin B@100 mg/mL@ORAL@SUSPENSION, ORAL (FINAL DOSE FORM)']"
"[('blastomycosis (diagnosis)', 'may_treat'), ('Fungaemia (disorder)', 'may_treat')]",amphotericin B (medication),has_active_ingredient,"['Amphotec 50mg Powder for Injection', 'Product containing amphotericin B in parenteral dose form (medicinal product form)', 'Amphotericin (liposomal) 5mg/mL suspension for injection 20mL vial', 'tetracycline + amphotericin B (medication)']"
"[('blastomycosis (diagnosis)', 'may_treat'), ('Fungaemia (disorder)', 'may_treat')]",amphotericin B (medication),physiologic_effect_of,['Decreased Cell Wall Integrity [PE]']
"[('LIVER ULTRASOUND ABNORMAL', 'co-occurs_with'), ('DIAR13', 'manifestation_of')]",Fatty change of liver (disorder),co-occurs_with,['LIVER DIS ALCOHOLIC']
"[('LIVER ULTRASOUND ABNORMAL', 'co-occurs_with'), ('DIAR13', 'manifestation_of')]",Fatty change of liver (disorder),may_treat,['resmetirom (medication)']
"[('TEEN PREGN', 'used_for'), ('Teenage marriage', 'used_for')]",teenage,associated_with,['Adolescent X-linked adrenoleukodystrophy (disorder)']
"[('Low pressure hydrocephalus (disorder)', 'clinically_associated_with'), ('Extreme exhaustion (finding)', 'used_for')]",Diseases of the nervous system (G00-G99),associated_with,"['Type I diabetes mellitus with neuropathic arthropathy', 'Neurogenic ossifying arthropathy (disorder)', 'OPTIC ATROPHY, INFANTILE HEREDITARY, WITH NEUROLOGIC ABNORMALITIES', 'Neurological Lyme disease (disorder)']"
"[('Low pressure hydrocephalus (disorder)', 'clinically_associated_with'), ('Extreme exhaustion (finding)', 'used_for')]",Diseases of the nervous system (G00-G99),contraindicated_with_disease,['Altretamine - chemical (substance)']
"[('Low pressure hydrocephalus (disorder)', 'clinically_associated_with'), ('Extreme exhaustion (finding)', 'used_for')]",Diseases of the nervous system (G00-G99),has_focus,['digital therapeutics for nervous system disorders (treatment)']
"[('Low pressure hydrocephalus (disorder)', 'clinically_associated_with'), ('Extreme exhaustion (finding)', 'used_for')]",Diseases of the nervous system (G00-G99),clinically_associated_with,['Low pressure hydrocephalus (disorder)']
"[('Congenital abnormal shape of forepaw phalanx (disorder)', 'location_of'), ('Congenital thickening of forepaw phalanx (disorder)', 'location_of')]",Set of phalanges of hand,has_finding_site,"['open fracture of phalanges of hand (diagnosis)', 'Closed fracture of phalanx of multiple fingers (disorder)', 'Avascular necrosis of phalanx of finger due to traumatic injury', 'Closed fracture of multiple phalanges of fingers (disorder)', 'Stress fracture of finger of left hand (disorder)', 'Congenital hypoplasia of forepaw phalanx (disorder)', 'Lack of ossification of forepaw phalanx (disorder)', 'Incomplete ossification of forepaw phalanx (disorder)', 'aseptic necrosis idiopathic fingers (diagnosis)', 'x-ray of finger: metaphyseal fracture (procedure)']"
"[('Congenital abnormal shape of forepaw phalanx (disorder)', 'location_of'), ('Congenital thickening of forepaw phalanx (disorder)', 'location_of')]",Set of phalanges of hand,has_direct_procedure_site,"['Internal fixation of bone of phalanges of hand (procedure)', 'Percutaneous skeletal fixation of distal phalangeal fracture of finger (procedure)', 'Closed reduction of fracture of finger (procedure)', 'destruction of finger phalanx (treatment)']"
"[('Congenital abnormal shape of forepaw phalanx (disorder)', 'location_of'), ('Congenital thickening of forepaw phalanx (disorder)', 'location_of')]",Set of phalanges of hand,has_procedure_site,"['OSTEOPLASTY LENGTHENING METACARPAL/PHALANX', 'EXCISION/CURETTAGE CYST/TUMOR PHALANX FINGER', 'Retired procedure (procedure) [86007005]']"
"[('VBAC', 'co-occurs_with'), ('Splenic hematoma (disorder)', 'associated_morphology_of')]",hematoma (physical finding),co-occurs_with,['cellulitis (diagnosis)']
"[('Inadvertent botulism', 'causative_agent_of'), ('Infection of intestine caused by Clostridium botulinum in adulthood (disorder)', 'causative_agent_of')]",Clostridium putrificum (organism),has_component,['gastric mucosa culture clostridium botulinum (lab test)']
"[('hemophilus influenza vaccination', 'associated_with'), ('Active immunization (procedure)', 'associated_with')]",STIMULATION IMMUNOL,associated_with,"['visit for: immunization (symptom)', 'Active immunization (procedure)']"
"[('Fibromatosis (morphologic abnormality)', 'used_for'), ('Fibromyxoid Neoplasm', 'used_for')]","Fibroma, no ICD-O subtype",clinically_associated_with,['hysterectomy (treatment)']
"[('Fibromatosis (morphologic abnormality)', 'used_for'), ('Fibromyxoid Neoplasm', 'used_for')]","Fibroma, no ICD-O subtype",associated_morphology_of,['Benign fibroma (morphologic abnormality)']
"[('PBD4B', 'manifestation_of'), ('POLYGLANDULAR ENDOCRINOPATHY', 'clinically_associated_with')]",adrenal insufficiency (diagnosis),co-occurs_with,['acquired immunodeficiency syndrome (AIDS) (diagnosis)']
"[('PBD4B', 'manifestation_of'), ('POLYGLANDULAR ENDOCRINOPATHY', 'clinically_associated_with')]",adrenal insufficiency (diagnosis),may_treat,"['17,21-Dihydroxypregn-4-ene-3,11,20-trione']"
"[('Disorder of urea cycle metabolism, unspecified', 'contraindicated_with_disease'), ('epilepsy types', 'may_treat')]",valproate calcium,therapeutic_class_of,['Anti-epileptic Agent [TC]']
"[('aldosterone stimulant', 'used_for'), ('RENIN CHECK', 'co-occurs_with')]",Aldosterone (substance),has_component,['Plasma aldosterone level']
"[('aldosterone stimulant', 'used_for'), ('RENIN CHECK', 'co-occurs_with')]",Aldosterone (substance),co-occurs_with,['Potassium [K] deficiency']
"[('pericardial effusion (diagnosis)', 'clinically_associated_with'), ('sphygmomanometer (treatment)', 'used_for')]",Blood pressure (observable entity),has_component,"['CARDIOVASCULAR FUNCTION EVAL W/TILT TABLE W/MNTR', 'Blood pressure method:Type:To identify measures at a point in time:^Patient:Nominal:*', 'AMBULATORY BP MNTR W/SW 24 HR+ RECORDING ONLY']"
"[('pericardial effusion (diagnosis)', 'clinically_associated_with'), ('sphygmomanometer (treatment)', 'used_for')]",Blood pressure (observable entity),associated_with,['Blood pressure:Complex:Duration of an encounter^First value observed during an interval:^Patient:Set']
"[('pericardial effusion (diagnosis)', 'clinically_associated_with'), ('sphygmomanometer (treatment)', 'used_for')]",Blood pressure (observable entity),co-occurs_with,['(Hypertensive disease) or (hypertension) (disorder)']
"[('multiple wounds (physical finding)', 'co-occurs_with'), ('ranitidine (medication)', 'co-occurs_with')]",alcohol intoxication (diagnosis),contraindicated_with_disease,['Procarbazin']
"[('multiple wounds (physical finding)', 'co-occurs_with'), ('ranitidine (medication)', 'co-occurs_with')]",alcohol intoxication (diagnosis),clinically_associated_with,['Delirium tremens (disorder)']
"[('multiple wounds (physical finding)', 'co-occurs_with'), ('ranitidine (medication)', 'co-occurs_with')]",alcohol intoxication (diagnosis),causative_agent_of,"['Psychoactive substance of abuse - non-pharmaceutical (substance)', 'methylcarbinol']"
"[('CHLAMYDIACEAE INFECT', 'may_treat'), ('trimethoprim + sulfamethoxazole (medication)', 'associated_with')]","Sulfanilamide, N'-(5-methyl-3-isoxazolyl)-",has_ingredient,"['sulfamethoxazole 1.67 MG/ML', 'sulfamethoxazole@@MISCELL@POWDER (GRAM)', 'phenazopyridine / sulfamethoxazole / trimethoprim Oral Tablet', 'Bactrim DS 800mg-160mg Tablet', 'sulfamethoxazole / trimethoprim Oral Solution']"
"[('CHLAMYDIACEAE INFECT', 'may_treat'), ('trimethoprim + sulfamethoxazole (medication)', 'associated_with')]","Sulfanilamide, N'-(5-methyl-3-isoxazolyl)-",has_active_ingredient,"['phenazopyridine, sulfamethoxazole drug combinations']"
"[('CHLAMYDIACEAE INFECT', 'may_treat'), ('trimethoprim + sulfamethoxazole (medication)', 'associated_with')]","Sulfanilamide, N'-(5-methyl-3-isoxazolyl)-",mechanism_of_action_of,['Para-Aminobenzoic Acid Inhibitors [MoA]']
"[('Genital System, Female, Uterus', 'has_direct_procedure_site'), ('Genital System, Female, Ovary', 'has_direct_procedure_site')]",Ovariohysterectomy (procedure),method_of,['Excisional']
"[('Accidental poisoning by chlorine (event)', 'causative_agent_of'), ('chloracne (physical finding)', 'associated_with')]",Chlorine (substance),has_ingredient,['NOVASOURCE RENAL LIQUID 1000ML']
"[('Accidental poisoning by chlorine (event)', 'causative_agent_of'), ('chloracne (physical finding)', 'associated_with')]",Chlorine (substance),has_active_ingredient,['Clorpactin WCS-90 4 MG/ML Topical Solution']
"[('ESOPHAGEAL REFLUX DYSPEPSIA', 'co-occurs_with'), ('GASTRIC ULCER PYLORIC CHANNEL PERFORATION', 'clinically_associated_with')]",epigastric pain (symptom),clinically_associated_with,['anemia (diagnosis)']
"[('Endemic congenital iodine deficiency syndrome of myxedematous type (disorder)', 'associated_with'), ('ulcer of lower extremities (physical finding)', 'may_treat')]",molecular iodine,has_ingredient,['iodine-potassium iodide 5%-10% oral and topical solution']
"[('Endemic congenital iodine deficiency syndrome of myxedematous type (disorder)', 'associated_with'), ('ulcer of lower extremities (physical finding)', 'may_treat')]",molecular iodine,has_active_ingredient,"['Iopamidol 51% Solution for injection', 'Iodine- and potassium iodide-containing product in oral dose form', 'strong iodine (medication)']"
"[('Endemic congenital iodine deficiency syndrome of myxedematous type (disorder)', 'associated_with'), ('ulcer of lower extremities (physical finding)', 'may_treat')]",molecular iodine,physiologic_effect_of,['Unknown Physiological Effect [PE]']
"[('Endemic congenital iodine deficiency syndrome of myxedematous type (disorder)', 'associated_with'), ('ulcer of lower extremities (physical finding)', 'may_treat')]",molecular iodine,therapeutic_class_of,['infection drug']
"[('Endemic congenital iodine deficiency syndrome of myxedematous type (disorder)', 'associated_with'), ('ulcer of lower extremities (physical finding)', 'may_treat')]",molecular iodine,associated_with,['current diet high in iodine (history)']
"[('SLSN6', 'manifestation_of'), ('chronic dialysis', 'clinically_associated_with')]",End stage renal failure (disorder),may_treat,['bumetanide (medication)']
"[('SLSN6', 'manifestation_of'), ('chronic dialysis', 'clinically_associated_with')]",End stage renal failure (disorder),clinically_associated_with,['Acidosis NOS (disorder)']
"[('meloxicam (medication)', 'has_active_ingredient'), ('Bupivacaine (substance)', 'has_active_ingredient')]",local anesthetics bupivacaine + meloxicam,has_ingredient,"['bupivacaine-meloxicam 200 mg-6 mg/7 mL injectable solution, extended release']"
"[('Pulmonary Diseases, Obstructive', 'contraindicated_with_disease'), ('Potassium [K] deficiency', 'contraindicated_with_disease')]",acetazolamide (medication),has_ingredient,"['Parenteral form acetazolamide', 'acetaZOLAMIDE 125 MG', 'Acetazolamide 125mg tablet']"
"[('Acute leukaemia, NOS, without mention of remission', 'location_of'), ('Megakaryocytic leukaemia without mention of remission', 'location_of')]",Medulla ossium,has_finding_site,"['histiocytic sarcoma of bone marrow (diagnosis)', 'Hypocellular bone marrow (lab test)', 'angioimmunoblastic T-cell lymphoma of bone marrow not having achieved remission (diagnosis)', 'Smoldering chronic lymphocytic leukemia (disorder)', 'bacteria in bone marrow by aerobic culture (lab test)', 'Emberger syndrome (diagnosis)', 'leukemia acute myeloblastic refractory', 'Burkitt cell leukemia (diagnosis)', 'Acute Myeloid Leukemia, CBFB-MYH11', 'Ischemic myelofibrosis (disorder)', 'chronic leukemia in relapse (diagnosis)', 'polycythemia vera in remission (diagnosis)', 'bone marrow biopsy showed myelodysplastic/myeloproliferative disease, unclassifiable (procedure)', 'Adult T-cell leukemia/lymphoma in remission (disorder)', 'Synovitis, Acne, Pustlosis, Hyperostosis, and Osteomyelitis', 'myelogenous leukemia (diagnosis)', 'myelodysplastic neoplasm with biallelic TP53 inactivation (diagnosis)', 'osteomyelitis of scapula (diagnosis)']"
"[('Acute leukaemia, NOS, without mention of remission', 'location_of'), ('Megakaryocytic leukaemia without mention of remission', 'location_of')]",Medulla ossium,has_direct_procedure_site,"['biopsy with CT guidance of bone marrow (procedure)', 'bone donor (treatment)', 'flow cytometry analysis of bone marrow (lab test)', 'imaging guidance for biopsy of bone marrow']"
